movie,year,rating,runtime,genre,imdbscore,metascore,votes
Rio Lobo,1970.0,G,114.0,"['Adventure', 'Romance', 'War']",6.8,55.0,10130.0
The AristoCats,1970.0,G,78.0,"['Animation', 'Adventure', 'Comedy']",7.1,66.0,89657.0
MASH,1970.0,R,116.0,"['Comedy', 'Drama', 'War']",7.5,80.0,65803.0
Airport,1970.0,G,137.0,"['Action', 'Drama', 'Thriller']",6.6,42.0,16819.0
Kelly's Heroes,1970.0,GP,144.0,"['Adventure', 'Comedy', 'War']",7.6,50.0,43717.0
Catch-22,1970.0,R,122.0,"['Comedy', 'Drama', 'War']",7.1,70.0,21314.0
Beneath the Planet of the Apes,1970.0,G,95.0,"['Action', 'Adventure', 'Sci-Fi']",6.1,46.0,40655.0
Patton,1970.0,GP,172.0,"['Biography', 'Drama', 'War']",7.9,91.0,91522.0
Love Story,1970.0,PG,100.0,"['Drama', 'Romance']",6.9,84.0,29013.0
Little Big Man,1970.0,PG-13,139.0,"['Adventure', 'Comedy', 'Drama']",7.6,63.0,31812.0
The Molly Maguires,1970.0,M,124.0,"['Drama', 'History']",6.9,62.0,3183.0
Beyond the Valley of the Dolls,1970.0,NC-17,109.0,"['Comedy', 'Drama', 'Music']",6.2,60.0,9635.0
Two Mules for Sister Sara,1970.0,GP,116.0,"['Adventure', 'Romance', 'War']",7.0,62.0,22751.0
The Conformist,1970.0,R,113.0,['Drama'],8.0,100.0,25423.0
Five Easy Pieces,1970.0,R,98.0,['Drama'],7.5,85.0,31965.0
Le Cercle Rouge,1970.0,Not Rated,140.0,"['Crime', 'Drama', 'Thriller']",8.0,91.0,20937.0
Brewster McCloud,1970.0,R,105.0,"['Comedy', 'Fantasy']",7.0,72.0,4091.0
Investigation of a Citizen Above Suspicion,1970.0,R,115.0,"['Crime', 'Drama']",8.1,89.0,8597.0
Tora! Tora! Tora!,1970.0,G,144.0,"['Action', 'Drama', 'History']",7.5,46.0,30771.0
Hercules in New York,1970.0,G,91.0,"['Adventure', 'Comedy', 'Fantasy']",3.3,23.0,16641.0
A Man Called Horse,1970.0,M,114.0,"['Adventure', 'Drama', 'Western']",6.9,46.0,7854.0
Bloody Mama,1970.0,R,90.0,"['Crime', 'Drama']",5.7,69.0,2851.0
Rio Lobo,1970.0,G,114.0,"['Adventure', 'Romance', 'War']",6.8,55.0,10130.0
The AristoCats,1970.0,G,78.0,"['Animation', 'Adventure', 'Comedy']",7.1,66.0,89657.0
MASH,1970.0,R,116.0,"['Comedy', 'Drama', 'War']",7.5,80.0,65803.0
Airport,1970.0,G,137.0,"['Action', 'Drama', 'Thriller']",6.6,42.0,16819.0
Kelly's Heroes,1970.0,GP,144.0,"['Adventure', 'Comedy', 'War']",7.6,50.0,43717.0
Catch-22,1970.0,R,122.0,"['Comedy', 'Drama', 'War']",7.1,70.0,21314.0
Beneath the Planet of the Apes,1970.0,G,95.0,"['Action', 'Adventure', 'Sci-Fi']",6.1,46.0,40655.0
Patton,1970.0,GP,172.0,"['Biography', 'Drama', 'War']",7.9,91.0,91522.0
Love Story,1970.0,PG,100.0,"['Drama', 'Romance']",6.9,84.0,29013.0
Little Big Man,1970.0,PG-13,139.0,"['Adventure', 'Comedy', 'Drama']",7.6,63.0,31812.0
The Molly Maguires,1970.0,M,124.0,"['Drama', 'History']",6.9,62.0,3183.0
Beyond the Valley of the Dolls,1970.0,NC-17,109.0,"['Comedy', 'Drama', 'Music']",6.2,60.0,9635.0
Two Mules for Sister Sara,1970.0,GP,116.0,"['Adventure', 'Romance', 'War']",7.0,62.0,22751.0
The Conformist,1970.0,R,113.0,['Drama'],8.0,100.0,25423.0
Five Easy Pieces,1970.0,R,98.0,['Drama'],7.5,85.0,31965.0
Le Cercle Rouge,1970.0,Not Rated,140.0,"['Crime', 'Drama', 'Thriller']",8.0,91.0,20937.0
Brewster McCloud,1970.0,R,105.0,"['Comedy', 'Fantasy']",7.0,72.0,4091.0
Investigation of a Citizen Above Suspicion,1970.0,R,115.0,"['Crime', 'Drama']",8.1,89.0,8597.0
Tora! Tora! Tora!,1970.0,G,144.0,"['Action', 'Drama', 'History']",7.5,46.0,30771.0
Hercules in New York,1970.0,G,91.0,"['Adventure', 'Comedy', 'Fantasy']",3.3,23.0,16641.0
A Man Called Horse,1970.0,M,114.0,"['Adventure', 'Drama', 'Western']",6.9,46.0,7854.0
Bloody Mama,1970.0,R,90.0,"['Crime', 'Drama']",5.7,69.0,2851.0
Rio Lobo,1970.0,G,114.0,"['Adventure', 'Romance', 'War']",6.8,55.0,10130.0
The AristoCats,1970.0,G,78.0,"['Animation', 'Adventure', 'Comedy']",7.1,66.0,89657.0
MASH,1970.0,R,116.0,"['Comedy', 'Drama', 'War']",7.5,80.0,65803.0
Airport,1970.0,G,137.0,"['Action', 'Drama', 'Thriller']",6.6,42.0,16819.0
Kelly's Heroes,1970.0,GP,144.0,"['Adventure', 'Comedy', 'War']",7.6,50.0,43717.0
Catch-22,1970.0,R,122.0,"['Comedy', 'Drama', 'War']",7.1,70.0,21314.0
Beneath the Planet of the Apes,1970.0,G,95.0,"['Action', 'Adventure', 'Sci-Fi']",6.1,46.0,40655.0
